location_id,location_name,sensor_id,pollutant,units,latitude,longitude,distance_km,datetime_first,datetime_last
43585,科学城,238287,co,µg/m³,30.4072,104.07889999999999,0.956,,
9803,三瓦窑,30646,co,µg/m³,30.5767,104.0594,1.02,,
43425,华阳,237923,co,µg/m³,30.522500000000004,104.0578,1.186,,
10049,君平街,32138,co,µg/m³,30.655599999999996,104.0431,2.574,,
9053,沙河铺,26799,co,µg/m³,30.630600000000005,104.11220000000002,4.038,,
10129,大石西路,32629,co,µg/m³,30.6558,104.0219,4.602,,
43632,金博路,236837,co,µg/m³,30.693100000000005,104.0106,5.683,,
9992,十里店,31799,co,µg/m³,30.6764,104.1419,6.878,,
9647,金泉两河,29826,co,µg/m³,30.7236,103.9728,9.297,,
43623,车城东七路,237858,co,µg/m³,30.531900000000004,104.2394,16.218,,
43398,临江路,238214,co,µg/m³,30.6994,103.84580000000001,21.444,,
43585,科学城,236793,no2,µg/m³,30.4072,104.07889999999999,0.956,,
9803,三瓦窑,30647,no2,µg/m³,30.5767,104.0594,1.02,,
43425,华阳,236928,no2,µg/m³,30.522500000000004,104.0578,1.186,,
10049,君平街,32139,no2,µg/m³,30.655599999999996,104.0431,2.574,,
9053,沙河铺,26800,no2,µg/m³,30.630600000000005,104.11220000000002,4.038,,
10129,大石西路,32630,no2,µg/m³,30.6558,104.0219,4.602,,
43632,金博路,237226,no2,µg/m³,30.693100000000005,104.0106,5.683,,
9992,十里店,31800,no2,µg/m³,30.6764,104.1419,6.878,,
9647,金泉两河,29827,no2,µg/m³,30.7236,103.9728,9.297,,
43623,车城东七路,237743,no2,µg/m³,30.531900000000004,104.2394,16.218,,
43398,临江路,237955,no2,µg/m³,30.6994,103.84580000000001,21.444,,
43585,科学城,238136,o3,µg/m³,30.4072,104.07889999999999,0.956,,
9803,三瓦窑,30648,o3,µg/m³,30.5767,104.0594,1.02,,
43425,华阳,237624,o3,µg/m³,30.522500000000004,104.0578,1.186,,
10049,君平街,32140,o3,µg/m³,30.655599999999996,104.0431,2.574,,
9053,沙河铺,26801,o3,µg/m³,30.630600000000005,104.11220000000002,4.038,,
10129,大石西路,32631,o3,µg/m³,30.6558,104.0219,4.602,,
43632,金博路,238248,o3,µg/m³,30.693100000000005,104.0106,5.683,,
9992,十里店,31801,o3,µg/m³,30.6764,104.1419,6.878,,
9647,金泉两河,29828,o3,µg/m³,30.7236,103.9728,9.297,,
43623,车城东七路,236714,o3,µg/m³,30.531900000000004,104.2394,16.218,,
43398,临江路,237739,o3,µg/m³,30.6994,103.84580000000001,21.444,,
43585,科学城,237688,pm10,µg/m³,30.4072,104.07889999999999,0.956,,
9803,三瓦窑,30649,pm10,µg/m³,30.5767,104.0594,1.02,,
43425,华阳,237374,pm10,µg/m³,30.522500000000004,104.0578,1.186,,
10049,君平街,32141,pm10,µg/m³,30.655599999999996,104.0431,2.574,,
9053,沙河铺,26802,pm10,µg/m³,30.630600000000005,104.11220000000002,4.038,,
10129,大石西路,32632,pm10,µg/m³,30.6558,104.0219,4.602,,
43632,金博路,237123,pm10,µg/m³,30.693100000000005,104.0106,5.683,,
9992,十里店,31802,pm10,µg/m³,30.6764,104.1419,6.878,,
9647,金泉两河,29830,pm10,µg/m³,30.7236,103.9728,9.297,,
43623,车城东七路,237410,pm10,µg/m³,30.531900000000004,104.2394,16.218,,
43398,临江路,237841,pm10,µg/m³,30.6994,103.84580000000001,21.444,,
43585,科学城,237722,so2,µg/m³,30.4072,104.07889999999999,0.956,,
9803,三瓦窑,30651,so2,µg/m³,30.5767,104.0594,1.02,,
43425,华阳,237087,so2,µg/m³,30.522500000000004,104.0578,1.186,,
10049,君平街,32143,so2,µg/m³,30.655599999999996,104.0431,2.574,,
9053,沙河铺,26804,so2,µg/m³,30.630600000000005,104.11220000000002,4.038,,
10129,大石西路,32634,so2,µg/m³,30.6558,104.0219,4.602,,
43632,金博路,236953,so2,µg/m³,30.693100000000005,104.0106,5.683,,
9992,十里店,31804,so2,µg/m³,30.6764,104.1419,6.878,,
9647,金泉两河,29835,so2,µg/m³,30.7236,103.9728,9.297,,
43623,车城东七路,237840,so2,µg/m³,30.531900000000004,104.2394,16.218,,
43398,临江路,237911,so2,µg/m³,30.6994,103.84580000000001,21.444,,
