location_id,location_name,sensor_id,parameter,latitude,longitude,distance_km,first_available,last_available,observed_count,percent_coverage,overlaps_study_period
7643,Chengdu,22242,pm25,30.6247,104.068388,0.155,2019-12-18 13:00:00+00:00,2020-05-16 13:00:00+00:00,8,800.0,False
43585,科学城,237075,pm25,30.4072,104.0789,0.956,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3511,351100.0,False
9803,三瓦窑,30650,pm25,30.5767,104.0594,1.02,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,19840,1984000.0,False
43425,华阳,237768,pm25,30.522500000000004,104.0578,1.186,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3524,352400.0,False
10049,君平街,32142,pm25,30.6556,104.0431,2.574,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,20046,2004600.0,False
9053,沙河铺,26803,pm25,30.630600000000005,104.11220000000002,4.038,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,19762,1976200.0,False
10129,大石西路,32633,pm25,30.6558,104.0219,4.602,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,19994,1999400.0,False
43632,金博路,237003,pm25,30.693100000000005,104.0106,5.683,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3517,351700.0,False
9992,十里店,31803,pm25,30.6764,104.1419,6.878,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,19512,1951200.0,False
9647,金泉两河,29834,pm25,30.7236,103.9728,9.297,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,19785,1978500.0,False
43623,车城东七路,238275,pm25,30.531900000000004,104.2394,16.218,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3483,348300.0,False
43398,临江路,237976,pm25,30.6994,103.8458,21.444,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3438,343800.0,False
