location_id,location_name,sensor_id,parameter,latitude,longitude,distance_km
142,Chengdu,218,pm25,30.63,104.07,0.0
7643,Chengdu,22242,pm25,30.6247,104.068388,0.155
43585,科学城,237075,pm25,30.4072,104.07889999999999,0.956
9803,三瓦窑,30650,pm25,30.5767,104.0594,1.02
43425,华阳,237768,pm25,30.522500000000004,104.0578,1.186
10049,君平街,32142,pm25,30.655599999999996,104.0431,2.574
9053,沙河铺,26803,pm25,30.630600000000005,104.11220000000002,4.038
10129,大石西路,32633,pm25,30.6558,104.0219,4.602
43632,金博路,237003,pm25,30.693100000000005,104.0106,5.683
9992,十里店,31803,pm25,30.6764,104.1419,6.878
9647,金泉两河,29834,pm25,30.7236,103.9728,9.297
43623,车城东七路,238275,pm25,30.531900000000004,104.2394,16.218
43398,临江路,237976,pm25,30.6994,103.84580000000001,21.444
