location,city,country,latitude,longitude,parameter,value,unit,date_utc,raw_measurement
,,,35.21815,128.57425,pm25,16.0,µg/m³,2026-08-04T09:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T09:00:00Z"", ""local"": ""2026-08-04T18:00:00+09:00""}, ""value"": 16.0, ""coordinates"": {""latitude"": 35.21815, ""longitude"": 128.57425}, ""sensorsId"": 8539597, ""locationsId"": 2622686}"
,,,54.88361359025449,23.83583450024486,pm25,12.55,µg/m³,2026-08-04T09:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T09:00:00Z"", ""local"": ""2026-08-04T12:00:00+03:00""}, ""value"": 12.55, ""coordinates"": {""latitude"": 54.88361359025449, ""longitude"": 23.83583450024486}, ""sensorsId"": 23735, ""locationsId"": 8152}"
,,,40.1465,117.07089999999998,pm25,16.0,µg/m³,2021-08-09T11:00:00Z,"{""datetime"": {""utc"": ""2021-08-09T11:00:00Z"", ""local"": ""2021-08-09T19:00:00+08:00""}, ""value"": 16.0, ""coordinates"": {""latitude"": 40.1465, ""longitude"": 117.07089999999998}, ""sensorsId"": 238048, ""locationsId"": 43487}"
,,,37.64553,-118.96676,pm25,9.0,µg/m³,2025-08-09T14:00:00Z,"{""datetime"": {""utc"": ""2025-08-09T14:00:00Z"", ""local"": ""2025-08-09T07:00:00-07:00""}, ""value"": 9.0, ""coordinates"": {""latitude"": 37.64553, ""longitude"": -118.96676}, ""sensorsId"": 7320157, ""locationsId"": 1772963}"
,,,38.59246,-82.80677,pm25,7.3,µg/m³,2026-08-04T09:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T09:00:00Z"", ""local"": ""2026-08-04T05:00:00-04:00""}, ""value"": 7.3, ""coordinates"": {""latitude"": 38.59246, ""longitude"": -82.80677}, ""sensorsId"": 6236505, ""locationsId"": 1066093}"
,,,53.129418999879455,23.108024999656525,pm25,6.0,µg/m³,2024-12-09T12:00:00Z,"{""datetime"": {""utc"": ""2024-12-09T12:00:00Z"", ""local"": ""2024-12-09T13:00:00+01:00""}, ""value"": 6.0, ""coordinates"": {""latitude"": 53.129418999879455, ""longitude"": 23.108024999656525}, ""sensorsId"": 7754909, ""locationsId"": 2146563}"
,,,29.966942,76.875879,pm25,154.81,µg/m³,2022-10-31T01:45:00Z,"{""datetime"": {""utc"": ""2022-10-31T01:45:00Z"", ""local"": ""2022-10-31T07:15:00+05:30""}, ""value"": 154.81, ""coordinates"": {""latitude"": 29.966942, ""longitude"": 76.875879}, ""sensorsId"": 20961, ""locationsId"": 7282}"
,,,45.08163372052002,13.643801808266366,pm25,15.872727220708674,µg/m³,2024-07-21T20:00:00Z,"{""datetime"": {""utc"": ""2024-07-21T20:00:00Z"", ""local"": ""2024-07-21T22:00:00+02:00""}, ""value"": 15.872727220708674, ""coordinates"": {""latitude"": 45.08163372052002, ""longitude"": 13.643801808266366}, ""sensorsId"": 9957979, ""locationsId"": 2953756}"
,,,-38.32676,146.3261,pm25,8.19,µg/m³,2026-07-29T19:00:00Z,"{""datetime"": {""utc"": ""2026-07-29T19:00:00Z"", ""local"": ""2026-07-30T05:00:00+10:00""}, ""value"": 8.19, ""coordinates"": {""latitude"": -38.32676, ""longitude"": 146.3261}, ""sensorsId"": 9969693, ""locationsId"": 10819}"
,,,38.05043,-122.15454,pm25,0.0,µg/m³,2026-07-03T07:00:00Z,"{""datetime"": {""utc"": ""2026-07-03T07:00:00Z"", ""local"": ""2026-07-03T00:00:00-07:00""}, ""value"": 0.0, ""coordinates"": {""latitude"": 38.05043, ""longitude"": -122.15454}, ""sensorsId"": 9963443, ""locationsId"": 2954721}"
,,,37.68975,-121.77155,pm25,18.0,µg/m³,2026-08-04T09:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T09:00:00Z"", ""local"": ""2026-08-04T02:00:00-07:00""}, ""value"": 18.0, ""coordinates"": {""latitude"": 37.68975, ""longitude"": -121.77155}, ""sensorsId"": 9963450, ""locationsId"": 2954722}"
,,,49.0459,8.52337,pm25,28.90916668574015,µg/m³,2026-01-31T05:00:00Z,"{""datetime"": {""utc"": ""2026-01-31T05:00:00Z"", ""local"": ""2026-01-31T06:00:00+01:00""}, ""value"": 28.90916668574015, ""coordinates"": {""latitude"": 49.0459, ""longitude"": 8.52337}, ""sensorsId"": 15241246, ""locationsId"": 6212143}"
,,,47.834999,-122.251261,pm25,11.1,µg/m³,2026-08-04T10:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T10:00:00Z"", ""local"": ""2026-08-04T03:00:00-07:00""}, ""value"": 11.1, ""coordinates"": {""latitude"": 47.834999, ""longitude"": -122.251261}, ""sensorsId"": 17131827, ""locationsId"": 6473136}"
