station_code,station_name,year,horizon,horizon_hours,total_rows,usable_samples,unusable_samples,usable_pct
1431A,JQLH,2015,48h,48,8760,7571,1189,86.42694063926942
1431A,JQLH,2016,48h,48,8784,8234,550,93.73861566484517
1431A,JQLH,2017,48h,48,8760,8312,448,94.88584474885845
1431A,JQLH,2018,48h,48,8760,7813,947,89.18949771689498
1431A,JQLH,2019,48h,48,8760,7961,799,90.87899543378995
1431A,JQLH,2020,48h,48,8784,7994,790,91.0063752276867
1431A,JQLH,2021,48h,48,8049,7500,549,93.17927692881102
1431A,JQLH,2015,72h,72,8760,7576,1184,86.48401826484017
1431A,JQLH,2016,72h,72,8784,8223,561,93.61338797814209
1431A,JQLH,2017,72h,72,8760,8309,451,94.85159817351598
1431A,JQLH,2018,72h,72,8760,7715,1045,88.07077625570776
1431A,JQLH,2019,72h,72,8760,7919,841,90.39954337899543
1431A,JQLH,2020,72h,72,8784,7971,813,90.74453551912568
1431A,JQLH,2021,72h,72,8049,7491,558,93.06746179649646
1431A,JQLH,2015,7d,168,8760,7607,1153,86.837899543379
1431A,JQLH,2016,7d,168,8784,8221,563,93.59061930783243
1431A,JQLH,2017,7d,168,8760,8313,447,94.8972602739726
1431A,JQLH,2018,7d,168,8760,7633,1127,87.13470319634703
1431A,JQLH,2019,7d,168,8760,7942,818,90.662100456621
1431A,JQLH,2020,7d,168,8784,7971,813,90.74453551912568
1431A,JQLH,2021,7d,168,8049,7391,658,91.82507143744564
1431A,JQLH,2015,14d,336,8760,7607,1153,86.837899543379
1431A,JQLH,2016,14d,336,8784,8213,571,93.49954462659382
1431A,JQLH,2017,14d,336,8760,8315,445,94.92009132420091
1431A,JQLH,2018,14d,336,8760,7597,1163,86.72374429223744
1431A,JQLH,2019,14d,336,8760,7920,840,90.41095890410958
1431A,JQLH,2020,14d,336,8784,7979,805,90.8356102003643
1431A,JQLH,2021,14d,336,8049,7227,822,89.78755124860231
1431A,JQLH,2015,30d,720,8760,7633,1127,87.13470319634703
1431A,JQLH,2016,30d,720,8784,8208,576,93.44262295081968
1431A,JQLH,2017,30d,720,8760,8318,442,94.95433789954339
1431A,JQLH,2018,30d,720,8760,7560,1200,86.3013698630137
1431A,JQLH,2019,30d,720,8760,7918,842,90.38812785388129
1431A,JQLH,2020,30d,720,8784,7965,819,90.67622950819673
1431A,JQLH,2021,30d,720,8049,6856,1193,85.17828301652379
1432A,SLD,2015,48h,48,8760,7650,1110,87.32876712328768
1432A,SLD,2016,48h,48,8784,8331,453,94.84289617486338
1432A,SLD,2017,48h,48,8760,8382,378,95.68493150684931
1432A,SLD,2018,48h,48,8760,7864,896,89.7716894977169
1432A,SLD,2019,48h,48,8760,7047,1713,80.44520547945206
1432A,SLD,2020,48h,48,8784,8212,572,93.48816029143899
1432A,SLD,2021,48h,48,8049,7645,404,94.98074294943471
1432A,SLD,2015,72h,72,8760,7653,1107,87.36301369863013
1432A,SLD,2016,72h,72,8784,8321,463,94.72905282331512
1432A,SLD,2017,72h,72,8760,8375,385,95.60502283105022
1432A,SLD,2018,72h,72,8760,7771,989,88.71004566210046
1432A,SLD,2019,72h,72,8760,6998,1762,79.88584474885845
1432A,SLD,2020,72h,72,8784,8202,582,93.37431693989072
1432A,SLD,2021,72h,72,8049,7620,429,94.670145359672
1432A,SLD,2015,7d,168,8760,7669,1091,87.54566210045662
1432A,SLD,2016,7d,168,8784,8326,458,94.78597449908925
1432A,SLD,2017,7d,168,8760,8376,384,95.61643835616438
1432A,SLD,2018,7d,168,8760,7702,1058,87.92237442922375
1432A,SLD,2019,7d,168,8760,7024,1736,80.18264840182648
1432A,SLD,2020,7d,168,8784,8209,575,93.4540072859745
1432A,SLD,2021,7d,168,8049,7535,514,93.61411355447882
1432A,SLD,2015,14d,336,8760,7678,1082,87.64840182648402
1432A,SLD,2016,14d,336,8784,8321,463,94.72905282331512
1432A,SLD,2017,14d,336,8760,8374,386,95.59360730593608
1432A,SLD,2018,14d,336,8760,7638,1122,87.1917808219178
1432A,SLD,2019,14d,336,8760,6948,1812,79.31506849315069
1432A,SLD,2020,14d,336,8784,8203,581,93.38570127504553
1432A,SLD,2021,14d,336,8049,7362,687,91.46477823332091
1432A,SLD,2015,30d,720,8760,7694,1066,87.8310502283105
1432A,SLD,2016,30d,720,8784,8316,468,94.67213114754098
1432A,SLD,2017,30d,720,8760,8380,380,95.662100456621
1432A,SLD,2018,30d,720,8760,7592,1168,86.66666666666667
1432A,SLD,2019,30d,720,8760,7052,1708,80.50228310502283
1432A,SLD,2020,30d,720,8784,8202,582,93.37431693989072
1432A,SLD,2021,30d,720,8049,6982,1067,86.74369486892782
1433A,SWY,2015,48h,48,8760,7674,1086,87.6027397260274
1433A,SWY,2016,48h,48,8784,8241,543,93.81830601092896
1433A,SWY,2017,48h,48,8760,8320,440,94.97716894977168
1433A,SWY,2018,48h,48,8760,7703,1057,87.93378995433791
1433A,SWY,2019,48h,48,8760,7570,1190,86.41552511415526
1433A,SWY,2020,48h,48,8784,8161,623,92.90755919854281
1433A,SWY,2021,48h,48,8049,7715,334,95.85041620077028
1433A,SWY,2015,72h,72,8760,7680,1080,87.67123287671232
1433A,SWY,2016,72h,72,8784,8232,552,93.71584699453553
1433A,SWY,2017,72h,72,8760,8318,442,94.95433789954339
1433A,SWY,2018,72h,72,8760,7627,1133,87.06621004566209
1433A,SWY,2019,72h,72,8760,7530,1230,85.95890410958904
1433A,SWY,2020,72h,72,8784,8157,627,92.8620218579235
1433A,SWY,2021,72h,72,8049,7690,359,95.53981861100758
1433A,SWY,2015,7d,168,8760,7695,1065,87.84246575342466
1433A,SWY,2016,7d,168,8784,8243,541,93.84107468123861
1433A,SWY,2017,7d,168,8760,8313,447,94.8972602739726
1433A,SWY,2018,7d,168,8760,7559,1201,86.28995433789954
1433A,SWY,2019,7d,168,8760,7506,1254,85.68493150684931
1433A,SWY,2020,7d,168,8784,8158,626,92.87340619307832
1433A,SWY,2021,7d,168,8049,7604,445,94.47136290222387
1433A,SWY,2015,14d,336,8760,7704,1056,87.94520547945206
1433A,SWY,2016,14d,336,8784,8229,555,93.68169398907104
1433A,SWY,2017,14d,336,8760,8316,444,94.93150684931507
1433A,SWY,2018,14d,336,8760,7524,1236,85.89041095890411
1433A,SWY,2019,14d,336,8760,7469,1291,85.26255707762557
1433A,SWY,2020,14d,336,8784,8163,621,92.93032786885246
1433A,SWY,2021,14d,336,8049,7445,604,92.49596223133308
1433A,SWY,2015,30d,720,8760,7724,1036,88.17351598173516
1433A,SWY,2016,30d,720,8784,8224,560,93.6247723132969
1433A,SWY,2017,30d,720,8760,8313,447,94.8972602739726
1433A,SWY,2018,30d,720,8760,7435,1325,84.8744292237443
