station_code,station_name,horizon,horizon_hours,total_rows,usable_samples,unusable_samples,usable_pct
1431A,JQLH,14d,336,60657,54858,5799,90.439685444384
1431A,JQLH,30d,720,60657,54458,6199,89.78023970852499
1431A,JQLH,48h,48,60657,55385,5272,91.30850520137824
1431A,JQLH,72h,72,60657,55204,5453,91.01010600590203
1431A,JQLH,7d,168,60657,55078,5579,90.80238059910644
1432A,SLD,14d,336,60657,54524,6133,89.88904825494171
1432A,SLD,30d,720,60657,54218,6439,89.38457226700957
1432A,SLD,48h,48,60657,55131,5526,90.88975715910776
1432A,SLD,72h,72,60657,54940,5717,90.57487182023509
1432A,SLD,7d,168,60657,54841,5816,90.41165900060999
1433A,SWY,14d,336,60657,54850,5807,90.4264965296668
1433A,SWY,30d,720,60657,54502,6155,89.85277873946947
1433A,SWY,48h,48,60657,55384,5273,91.3068565870386
1433A,SWY,72h,72,60657,55234,5423,91.05956443609146
1433A,SWY,7d,168,60657,55078,5579,90.80238059910644
1434A,SHP,14d,336,60657,54911,5746,90.52706200438531
1434A,SHP,30d,720,60657,54549,6108,89.93026361343291
1434A,SHP,48h,48,60657,55421,5236,91.36785531760555
1434A,SHP,72h,72,60657,55263,5394,91.10737425194124
1434A,SHP,7d,168,60657,55123,5534,90.87656824439058
1437A,JPJ,14d,336,60657,55524,5133,91.53766259458925
1437A,JPJ,30d,720,60657,55074,5583,90.79578614174785
1437A,JPJ,48h,48,60657,55959,4698,92.25480983233592
1437A,JPJ,72h,72,60657,55810,4847,92.00916629572843
1437A,JPJ,7d,168,60657,55742,4915,91.89706052063241
1438A,LYS,14d,336,60657,50439,10218,83.15445867748159
1438A,LYS,30d,720,60657,50124,10533,82.63514516049261
1438A,LYS,48h,48,60657,51434,9223,84.79482994543086
1438A,LYS,72h,72,60657,51111,9546,84.26232751372471
1438A,LYS,7d,168,60657,50678,9979,83.54847750465734
2880A,DSXL,14d,336,60657,54954,5703,90.59795242099015
2880A,DSXL,30d,720,60657,54635,6022,90.0720444466426
2880A,DSXL,48h,48,60657,55497,5160,91.49315000741876
2880A,DSXL,72h,72,60657,55314,5343,91.19145358326327
2880A,DSXL,7d,168,60657,55187,5470,90.98207956212802
3136A,LQXQ,14d,336,51873,45393,6480,87.50795211381643
3136A,LQXQ,30d,720,51873,45087,6786,86.91804985252443
3136A,LQXQ,48h,48,51873,46088,5785,88.84776280531298
3136A,LQXQ,72h,72,51873,45843,6030,88.37545543924585
3136A,LQXQ,7d,168,51873,45616,6257,87.9378482061959
3358A,LJL,14d,336,60657,54675,5982,90.13798902022849
3358A,LJL,30d,720,60657,54298,6359,89.51646141418138
3358A,LJL,48h,48,60657,55217,5440,91.03153799231745
3358A,LJL,72h,72,60657,55063,5594,90.77765138401173
3358A,LJL,7d,168,60657,54887,5770,90.48749526023377
