station_code,station_name,horizon,horizon_hours,total_rows,usable_samples,usable_pct
1431A,JQLH,48h,48,60657,54385,89.65989086173072
1431A,JQLH,72h,72,60657,54205,89.36314028059415
1431A,JQLH,7d,168,60657,54097,89.18508993191223
1431A,JQLH,14d,336,60657,53859,88.79271971907612
1431A,JQLH,30d,720,60657,53469,88.14976012661359
1432A,SLD,48h,48,60657,53853,88.78282803303823
1432A,SLD,72h,72,60657,53707,88.54213033944968
1432A,SLD,7d,168,60657,53627,88.4102411922779
1432A,SLD,14d,336,60657,53311,87.88927906094928
1432A,SLD,30d,720,60657,53029,87.42436981716867
1433A,SWY,48h,48,60657,54151,89.27411510625319
1433A,SWY,72h,72,60657,54008,89.03836325568359
1433A,SWY,7d,168,60657,53844,88.76799050398141
1433A,SWY,14d,336,60657,53642,88.4349704073726
1433A,SWY,30d,720,60657,53297,87.86619846019421
1434A,SHP,48h,48,60657,54240,89.42084178248182
1434A,SHP,72h,72,60657,54102,89.19333300361046
1434A,SHP,7d,168,60657,54014,89.04825494172148
1434A,SHP,14d,336,60657,53778,88.65918195756467
1434A,SHP,30d,720,60657,53435,88.09370723906557
1437A,JPJ,48h,48,60657,54653,90.10171950475625
1437A,JPJ,72h,72,60657,54518,89.87915656890384
1437A,JPJ,7d,168,60657,54456,89.77694247984569
1437A,JPJ,14d,336,60657,54220,89.38786949568888
1437A,JPJ,30d,720,60657,53789,88.67731671530079
1438A,LYS,48h,48,60657,49032,80.8348583015975
1438A,LYS,72h,72,60657,48693,80.27597804045699
1438A,LYS,7d,168,60657,48279,79.59345170384292
1438A,LYS,14d,336,60657,48033,79.18789257628963
1438A,LYS,30d,720,60657,47760,78.73782086156585
2880A,DSXL,48h,48,60657,50986,84.05625072126878
2880A,DSXL,72h,72,60657,50803,83.75455429711329
2880A,DSXL,7d,168,60657,50716,83.61112484956395
2880A,DSXL,14d,336,60657,50480,83.22205186540712
2880A,DSXL,30d,720,60657,50120,82.62855070313402
3136A,LQXQ,48h,48,51873,41635,80.26333545389703
3136A,LQXQ,72h,72,51873,41358,79.72933896246602
3136A,LQXQ,7d,168,51873,41150,79.32835964760088
3136A,LQXQ,14d,336,51873,40949,78.94087482890907
3136A,LQXQ,30d,720,51873,40612,78.29121122742082
3358A,LJL,48h,48,60657,47216,77.8409746607976
3358A,LJL,72h,72,60657,47088,77.62995202532271
3358A,LJL,7d,168,60657,46918,77.34968758758264
3358A,LJL,14d,336,60657,46740,77.05623423512537
3358A,LJL,30d,720,60657,46335,76.38854542756813
