station_code,station_name,year,horizon,horizon_hours,total_rows,usable_samples,usable_pct
1431A,JQLH,2015,48h,48,8760,7541,86.08447488584476
1431A,JQLH,2016,48h,48,8784,8180,93.12386156648452
1431A,JQLH,2017,48h,48,8760,8163,93.18493150684931
1431A,JQLH,2018,48h,48,8760,7626,87.05479452054794
1431A,JQLH,2019,48h,48,8760,7743,88.39041095890411
1431A,JQLH,2020,48h,48,8784,7853,89.4011839708561
1431A,JQLH,2021,48h,48,8049,7279,90.43359423530873
1431A,JQLH,2015,72h,72,8760,7550,86.18721461187214
1431A,JQLH,2016,72h,72,8784,8165,92.95309653916212
1431A,JQLH,2017,72h,72,8760,8159,93.1392694063927
1431A,JQLH,2018,72h,72,8760,7528,85.93607305936072
1431A,JQLH,2019,72h,72,8760,7701,87.91095890410959
1431A,JQLH,2020,72h,72,8784,7835,89.19626593806922
1431A,JQLH,2021,72h,72,8049,7267,90.28450739222264
1431A,JQLH,2015,7d,168,8760,7577,86.49543378995433
1431A,JQLH,2016,7d,168,8784,8161,92.90755919854281
1431A,JQLH,2017,7d,168,8760,8168,93.2420091324201
1431A,JQLH,2018,7d,168,8760,7453,85.07990867579909
1431A,JQLH,2019,7d,168,8760,7726,88.19634703196347
1431A,JQLH,2020,7d,168,8784,7836,89.20765027322405
1431A,JQLH,2021,7d,168,8049,7176,89.1539321654864
1431A,JQLH,2015,14d,336,8760,7577,86.49543378995433
1431A,JQLH,2016,14d,336,8784,8156,92.85063752276868
1431A,JQLH,2017,14d,336,8760,8165,93.20776255707763
1431A,JQLH,2018,14d,336,8760,7408,84.5662100456621
1431A,JQLH,2019,14d,336,8760,7695,87.84246575342466
1431A,JQLH,2020,14d,336,8784,7849,89.35564663023679
1431A,JQLH,2021,14d,336,8049,7009,87.07914026587153
1431A,JQLH,2015,30d,720,8760,7603,86.79223744292237
1431A,JQLH,2016,30d,720,8784,8149,92.77094717668488
1431A,JQLH,2017,30d,720,8760,8171,93.27625570776256
1431A,JQLH,2018,30d,720,8760,7363,84.05251141552512
1431A,JQLH,2019,30d,720,8760,7680,87.67123287671232
1431A,JQLH,2020,30d,720,8784,7827,89.1051912568306
1431A,JQLH,2021,30d,720,8049,6676,82.94198037023233
1432A,SLD,2015,48h,48,8760,7581,86.54109589041096
1432A,SLD,2016,48h,48,8784,8274,94.19398907103826
1432A,SLD,2017,48h,48,8760,8286,94.58904109589041
1432A,SLD,2018,48h,48,8760,7632,87.12328767123287
1432A,SLD,2019,48h,48,8760,6711,76.60958904109589
1432A,SLD,2020,48h,48,8784,7992,90.98360655737704
1432A,SLD,2021,48h,48,8049,7377,91.65113678717853
1432A,SLD,2015,72h,72,8760,7587,86.60958904109589
1432A,SLD,2016,72h,72,8784,8264,94.08014571948998
1432A,SLD,2017,72h,72,8760,8280,94.52054794520548
1432A,SLD,2018,72h,72,8760,7541,86.08447488584476
1432A,SLD,2019,72h,72,8760,6681,76.26712328767124
1432A,SLD,2020,72h,72,8784,7982,90.86976320582878
1432A,SLD,2021,72h,72,8049,7372,91.58901726922599
1432A,SLD,2015,7d,168,8760,7597,86.72374429223744
1432A,SLD,2016,7d,168,8784,8268,94.12568306010928
