station_code,station_name,variable,missing_count,missing_pct
1431A,JQLH,AQI,3062,5.048057108000725
1431A,JQLH,PM2.5,2883,4.7529551412038185
1431A,JQLH,PM10,3091,5.095866923850504
1431A,JQLH,SO2,2851,4.700199482335098
1431A,JQLH,NO2,2926,4.823845557808662
1431A,JQLH,O3-8h,2706,4.461150403086206
1431A,JQLH,CO,2856,4.708442554033335
1431A,JQLH,U10,8,0.01318891471718021
1431A,JQLH,V10,8,0.01318891471718021
1431A,JQLH,T2,8,0.01318891471718021
1431A,JQLH,RH2,7,0.011540300377532684
1431A,JQLH,PBLH,8,0.01318891471718021
1432A,SLD,AQI,3319,5.47175099329014
1432A,SLD,PM2.5,3053,5.033219578943897
1432A,SLD,PM10,3311,5.458562078572959
1432A,SLD,SO2,3043,5.0167334355474225
1432A,SLD,NO2,3205,5.283808958570322
1432A,SLD,O3-8h,2910,4.7974677283743015
1432A,SLD,CO,3085,5.085975237812619
1432A,SLD,U10,8,0.01318891471718021
1432A,SLD,V10,8,0.01318891471718021
1432A,SLD,T2,8,0.01318891471718021
1432A,SLD,RH2,7,0.011540300377532684
1432A,SLD,PBLH,8,0.01318891471718021
1433A,SWY,AQI,2979,4.911222117809981
1433A,SWY,PM2.5,2890,4.764495441581351
1433A,SWY,PM10,3081,5.079380780454028
1433A,SWY,SO2,2917,4.809008028751834
1433A,SWY,NO2,2914,4.804062185732891
1433A,SWY,O3-8h,2723,4.4891768468602145
1433A,SWY,CO,2875,4.739766226486638
1433A,SWY,U10,8,0.01318891471718021
1433A,SWY,V10,8,0.01318891471718021
1433A,SWY,T2,8,0.01318891471718021
1433A,SWY,RH2,7,0.011540300377532684
1433A,SWY,PBLH,8,0.01318891471718021
1434A,SHP,AQI,3042,5.0150848212077745
1434A,SHP,PM2.5,2852,4.701848096674745
1434A,SHP,PM10,3166,5.219512999324069
1434A,SHP,SO2,2783,4.588093707239065
1434A,SHP,NO2,2921,4.815602486110424
1434A,SHP,O3-8h,2641,4.3539904710091175
1434A,SHP,CO,2754,4.540283891389287
1434A,SHP,U10,8,0.01318891471718021
1434A,SHP,V10,8,0.01318891471718021
1434A,SHP,T2,8,0.01318891471718021
1434A,SHP,RH2,7,0.011540300377532684
1434A,SHP,PBLH,8,0.01318891471718021
1437A,JPJ,AQI,2830,4.6655785812024995
1437A,JPJ,PM2.5,2565,4.2286957811959045
1437A,JPJ,PM10,2849,4.696902253655803
1437A,JPJ,SO2,2585,4.261668067988856
1437A,JPJ,NO2,2718,4.480933775161977
1437A,JPJ,O3-8h,2446,4.032510674777849
1437A,JPJ,CO,2660,4.38531414346242
1437A,JPJ,U10,8,0.01318891471718021
1437A,JPJ,V10,8,0.01318891471718021
1437A,JPJ,T2,8,0.01318891471718021
1437A,JPJ,RH2,7,0.011540300377532684
1437A,JPJ,PBLH,8,0.01318891471718021
1438A,LYS,AQI,5482,9.03770380994774
1438A,LYS,PM2.5,5349,8.818438102774618
1438A,LYS,PM10,5919,9.758148276373708
1438A,LYS,SO2,5022,8.279341213709877
1438A,LYS,NO2,4918,8.107885322386533
1438A,LYS,O3-8h,4731,7.799594440872447
1438A,LYS,CO,6127,10.101060059020393
1438A,LYS,U10,8,0.01318891471718021
1438A,LYS,V10,8,0.01318891471718021
1438A,LYS,T2,8,0.01318891471718021
1438A,LYS,RH2,7,0.011540300377532684
1438A,LYS,PBLH,8,0.01318891471718021
2880A,DSXL,AQI,2973,4.901330431772095
2880A,DSXL,PM2.5,2816,4.642497980447434
2880A,DSXL,PM10,6573,10.83634205450319
2880A,DSXL,SO2,2641,4.3539904710091175
2880A,DSXL,NO2,2799,4.614471536673426
2880A,DSXL,O3-8h,2461,4.057239889872562
2880A,DSXL,CO,2676,4.41169197289678
2880A,DSXL,U10,8,0.01318891471718021
2880A,DSXL,V10,8,0.01318891471718021
2880A,DSXL,T2,8,0.01318891471718021
2880A,DSXL,RH2,7,0.011540300377532684
2880A,DSXL,PBLH,8,0.01318891471718021
3136A,LQXQ,AQI,7281,12.003561006973639
3136A,LQXQ,PM2.5,7432,12.252501772260416
3136A,LQXQ,PM10,12753,21.024778673524903
3136A,LQXQ,SO2,7190,11.853537102065715
3136A,LQXQ,NO2,7299,12.033236065087294
3136A,LQXQ,O3-8h,6936,11.434789059795241
3136A,LQXQ,CO,7244,11.942562276406681
3136A,LQXQ,U10,8,0.01318891471718021
3136A,LQXQ,V10,8,0.01318891471718021
3136A,LQXQ,T2,8,0.01318891471718021
3136A,LQXQ,RH2,7,0.011540300377532684
3136A,LQXQ,PBLH,8,0.01318891471718021
3358A,LJL,AQI,3171,5.227756071022306
3358A,LJL,PM2.5,2988,4.9260596468668085
3358A,LJL,PM10,10390,17.1291029889378
3358A,LJL,SO2,2958,4.876601216677383
3358A,LJL,NO2,3108,5.123893367624512
3358A,LJL,O3-8h,2732,4.504014375917042
3358A,LJL,CO,2993,4.934302718565045
3358A,LJL,U10,8,0.01318891471718021
3358A,LJL,V10,8,0.01318891471718021
3358A,LJL,T2,8,0.01318891471718021
3358A,LJL,RH2,7,0.011540300377532684
3358A,LJL,PBLH,8,0.01318891471718021
