station_code,station_name,year,rows,variable,missing_count,missing_pct
1431A,JQLH,2015,8760,AQI,624,7.123287671232877
1431A,JQLH,2015,8760,PM2.5,630,7.191780821917808
1431A,JQLH,2015,8760,PM10,648,7.397260273972603
1431A,JQLH,2015,8760,SO2,629,7.180365296803654
1431A,JQLH,2015,8760,NO2,628,7.168949771689498
1431A,JQLH,2015,8760,O3-8h,630,7.191780821917808
1431A,JQLH,2015,8760,CO,625,7.134703196347032
1431A,JQLH,2015,8760,U10,7,0.07990867579908677
1431A,JQLH,2015,8760,V10,7,0.07990867579908677
1431A,JQLH,2015,8760,T2,7,0.07990867579908677
1431A,JQLH,2015,8760,RH2,7,0.07990867579908677
1431A,JQLH,2015,8760,PBLH,7,0.07990867579908677
1431A,JQLH,2016,8784,AQI,279,3.1762295081967213
1431A,JQLH,2016,8784,PM2.5,280,3.1876138433515484
1431A,JQLH,2016,8784,PM10,326,3.711293260473588
1431A,JQLH,2016,8784,SO2,277,3.1534608378870677
1431A,JQLH,2016,8784,NO2,278,3.1648451730418943
1431A,JQLH,2016,8784,O3-8h,274,3.1193078324225865
1431A,JQLH,2016,8784,CO,274,3.1193078324225865
1431A,JQLH,2016,8784,U10,0,0.0
1431A,JQLH,2016,8784,V10,0,0.0
1431A,JQLH,2016,8784,T2,0,0.0
1431A,JQLH,2016,8784,RH2,0,0.0
1431A,JQLH,2016,8784,PBLH,0,0.0
1431A,JQLH,2017,8760,AQI,217,2.4771689497716896
1431A,JQLH,2017,8760,PM2.5,231,2.636986301369863
1431A,JQLH,2017,8760,PM10,264,3.0136986301369864
1431A,JQLH,2017,8760,SO2,221,2.5228310502283104
1431A,JQLH,2017,8760,NO2,246,2.808219178082192
1431A,JQLH,2017,8760,O3-8h,220,2.5114155251141552
1431A,JQLH,2017,8760,CO,244,2.7853881278538815
1431A,JQLH,2017,8760,U10,0,0.0
1431A,JQLH,2017,8760,V10,0,0.0
1431A,JQLH,2017,8760,T2,0,0.0
1431A,JQLH,2017,8760,RH2,0,0.0
1431A,JQLH,2017,8760,PBLH,0,0.0
1431A,JQLH,2018,8760,AQI,593,6.769406392694063
1431A,JQLH,2018,8760,PM2.5,628,7.168949771689498
1431A,JQLH,2018,8760,PM10,697,7.95662100456621
1431A,JQLH,2018,8760,SO2,608,6.940639269406393
1431A,JQLH,2018,8760,NO2,619,7.066210045662101
1431A,JQLH,2018,8760,O3-8h,561,6.404109589041096
1431A,JQLH,2018,8760,CO,595,6.792237442922374
1431A,JQLH,2018,8760,U10,0,0.0
