horizon,horizon_hours,station_code,station_name,test_samples,mae,rmse,r2
24h,24,1431A,1431A,7519,19.09695438223168,27.230320559265188,0.21398939467516442
24h,24,1432A,1432A,7668,18.288993218570685,26.10898169987251,0.25114574558404756
24h,24,1433A,1433A,7735,17.649903038138333,26.18264128367358,0.21766155191281578
24h,24,1434A,1434A,7741,17.724841751711665,25.835562603750645,0.2611099432105721
24h,24,1437A,1437A,7668,18.778690662493478,26.983430163541378,0.2923626357379253
24h,24,1438A,1438A,7029,15.5963863992033,21.254987782155418,0.19191308397060325
24h,24,2880A,2880A,7428,19.48115239633818,28.339059892006574,0.2887810288253424
24h,24,3136A,3136A,7633,16.34521158129176,24.26518684340852,0.2170550482818615
24h,24,3358A,3358A,7502,16.223540389229537,24.918932811753255,0.3591150069917386
48h,48,1431A,1431A,7500,24.021066666666666,33.1937825503512,-0.15675275211855455
48h,48,1432A,1432A,7645,22.981294964028777,31.733508563177107,-0.11541288189427856
48h,48,1433A,1433A,7715,22.181723914452366,31.505676432034463,-0.14055293166041372
48h,48,1434A,1434A,7714,22.868809955924295,31.700974369752476,-0.12835213575337034
48h,48,1437A,1437A,7627,24.202307591451422,33.885420350613146,-0.12302669528695587
48h,48,1438A,1438A,6908,17.843659525188187,24.363156707375136,-0.08511701965004259
48h,48,2880A,2880A,7380,24.679403794037942,35.22220213211023,-0.11945280467640051
48h,48,3136A,3136A,7613,20.175357940365164,28.533541852348005,-0.0913293446465171
48h,48,3358A,3358A,7461,20.494035652057367,30.2421004582795,0.08875121718018442
72h,72,1431A,1431A,7491,26.4706981711387,36.21270170881199,-0.4063153459386135
72h,72,1432A,1432A,7620,25.46535433070866,34.776749556439086,-0.3446942915862987
72h,72,1433A,1433A,7690,24.393368010403123,34.30748855762163,-0.37768275371997184
72h,72,1434A,1434A,7690,25.14174252275683,34.699239057324405,-0.39053683265494765
72h,72,1437A,1437A,7606,27.04154614777807,37.3846195881575,-0.3809661420637156
72h,72,1438A,1438A,6855,19.650328227571116,26.871993072161835,-0.32051202609450336
72h,72,2880A,2880A,7349,27.024084909511497,38.15465802454437,-0.3796039462353351
72h,72,3136A,3136A,7582,22.372988657346347,30.832115750399026,-0.2911998852262081
72h,72,3358A,3358A,7436,22.99367939752555,33.419298554409345,-0.11210916938379611
7d,168,1431A,1431A,7391,25.700040589906642,36.210360828946015,-0.3933498371599926
7d,168,1432A,1432A,7535,24.6650298606503,35.10748119087088,-0.38937312636544674
7d,168,1433A,1433A,7604,23.524986849026828,33.8875627945047,-0.38295474072241165
7d,168,1434A,1434A,7598,24.604632798104763,35.214504567428676,-0.415196490210443
7d,168,1437A,1437A,7561,25.990741965348498,37.37430284867064,-0.4249096122455367
7d,168,1438A,1438A,6754,20.227864968907316,28.231133358960605,-0.5168819413114862
7d,168,2880A,2880A,7269,26.36772595955427,38.457940750493506,-0.38256017682814414
7d,168,3136A,3136A,7485,21.513560454241816,30.768081128001228,-0.3740274859627628
7d,168,3358A,3358A,7381,23.365533125592737,35.65264500787347,-0.26383376283242255
14d,336,1431A,1431A,7227,25.510585305105852,35.800739614803064,-0.45117638543420013
14d,336,1432A,1432A,7362,25.3960880195599,35.30020667281866,-0.525190359030463
14d,336,1433A,1433A,7445,23.423908663532572,33.8481200615208,-0.4552586610488185
14d,336,1434A,1434A,7438,24.933315407367573,35.35809208636927,-0.4587562763849842
14d,336,1437A,1437A,7406,25.588981906562246,36.62847830077438,-0.4058408839799381
14d,336,1438A,1438A,6626,19.97751282825234,27.633289744123925,-0.5306377249337204
14d,336,2880A,2880A,7107,26.40045026030674,38.52360082415327,-0.39469026081429903
14d,336,3136A,3136A,7310,21.740082079343367,31.21379873053183,-0.4397710428389887
14d,336,3358A,3358A,7236,23.08678828081813,34.47809568937861,-0.22753542150964523
30d,720,1431A,1431A,6856,24.614935822637108,33.71613863815731,-0.4534226414758049
30d,720,1432A,1432A,6982,24.352621025494127,33.47438598884642,-0.45208865087537586
30d,720,1433A,1433A,7073,22.853103350770535,32.436476108343825,-0.6168237728754633
30d,720,1434A,1434A,7092,23.78623801466441,33.20209358779234,-0.4846415346439348
30d,720,1437A,1437A,7017,25.37822431238421,35.247040371125586,-0.4937906999430446
30d,720,1438A,1438A,6293,18.83600826314953,25.18400424081016,-0.5940313788204512
30d,720,2880A,2880A,6802,25.79755954131138,36.68552636601448,-0.44861411487781533
30d,720,3136A,3136A,6944,21.568548387096776,29.917190818183663,-0.5139166571793841
30d,720,3358A,3358A,6893,23.012766574786014,33.92484290173563,-0.5996118695767509
