station_code,station_name,year,horizon,horizon_hours,predictor,total_rows,target_available_samples,predictor_available_samples,usable_samples,usable_pct
1431A,JQLH,2015,48h,48,PM10,8760,7571,8112,7551,86.1986301369863
1431A,JQLH,2016,48h,48,PM10,8784,8234,8458,8188,93.21493624772313
1431A,JQLH,2017,48h,48,PM10,8760,8312,8496,8258,94.26940639269407
1431A,JQLH,2018,48h,48,PM10,8760,7813,8063,7712,88.03652968036529
1431A,JQLH,2019,48h,48,PM10,8760,7961,8275,7905,90.23972602739725
1431A,JQLH,2020,48h,48,PM10,8784,7994,8366,7969,90.72176684881603
1431A,JQLH,2021,48h,48,PM10,8049,7500,7796,7490,93.05503789290596
1431A,JQLH,2015,48h,48,SO2,8760,7571,8131,7569,86.4041095890411
1431A,JQLH,2016,48h,48,SO2,8784,8234,8507,8229,93.68169398907104
1431A,JQLH,2017,48h,48,SO2,8760,8312,8539,8297,94.71461187214612
1431A,JQLH,2018,48h,48,SO2,8760,7813,8152,7782,88.83561643835617
1431A,JQLH,2019,48h,48,SO2,8760,7961,8297,7911,90.3082191780822
1431A,JQLH,2020,48h,48,SO2,8784,7994,8371,7949,90.4940801457195
1431A,JQLH,2021,48h,48,SO2,8049,7500,7809,7461,92.69474468878121
1431A,JQLH,2015,48h,48,NO2,8760,7571,8132,7568,86.39269406392694
1431A,JQLH,2016,48h,48,NO2,8784,8234,8506,8229,93.68169398907104
1431A,JQLH,2017,48h,48,NO2,8760,8312,8514,8274,94.45205479452055
1431A,JQLH,2018,48h,48,NO2,8760,7813,8141,7769,88.68721461187215
1431A,JQLH,2019,48h,48,NO2,8760,7961,8249,7868,89.81735159817352
1431A,JQLH,2020,48h,48,NO2,8784,7994,8375,7950,90.50546448087432
1431A,JQLH,2021,48h,48,NO2,8049,7500,7814,7466,92.75686420673375
1431A,JQLH,2015,48h,48,O3-8h,8760,7571,8130,7566,86.36986301369863
1431A,JQLH,2016,48h,48,O3-8h,8784,8234,8510,8233,93.72723132969034
1431A,JQLH,2017,48h,48,O3-8h,8760,8312,8540,8296,94.70319634703196
1431A,JQLH,2018,48h,48,O3-8h,8760,7813,8199,7813,89.18949771689498
1431A,JQLH,2019,48h,48,O3-8h,8760,7961,8357,7960,90.8675799086758
1431A,JQLH,2020,48h,48,O3-8h,8784,7994,8448,7994,91.0063752276867
1431A,JQLH,2021,48h,48,O3-8h,8049,7500,7767,7390,91.81264753385514
1431A,JQLH,2015,48h,48,CO,8760,7571,8135,7571,86.42694063926942
1431A,JQLH,2016,48h,48,CO,8784,8234,8510,8233,93.72723132969034
1431A,JQLH,2017,48h,48,CO,8760,8312,8516,8277,94.48630136986301
1431A,JQLH,2018,48h,48,CO,8760,7813,8165,7794,88.97260273972603
1431A,JQLH,2019,48h,48,CO,8760,7961,8299,7914,90.34246575342466
1431A,JQLH,2020,48h,48,CO,8784,7994,8377,7953,90.5396174863388
1431A,JQLH,2021,48h,48,CO,8049,7500,7799,7460,92.68232078519071
1431A,JQLH,2015,48h,48,U10,8760,7571,8753,7571,86.42694063926942
1431A,JQLH,2016,48h,48,U10,8784,8234,8784,8234,93.73861566484517
1431A,JQLH,2017,48h,48,U10,8760,8312,8760,8312,94.88584474885845
1431A,JQLH,2018,48h,48,U10,8760,7813,8760,7813,89.18949771689498
1431A,JQLH,2019,48h,48,U10,8760,7961,8760,7961,90.87899543378995
1431A,JQLH,2020,48h,48,U10,8784,7994,8784,7994,91.0063752276867
1431A,JQLH,2021,48h,48,U10,8049,7500,8048,7499,93.16685302522052
1431A,JQLH,2015,48h,48,V10,8760,7571,8753,7571,86.42694063926942
1431A,JQLH,2016,48h,48,V10,8784,8234,8784,8234,93.73861566484517
1431A,JQLH,2017,48h,48,V10,8760,8312,8760,8312,94.88584474885845
1431A,JQLH,2018,48h,48,V10,8760,7813,8760,7813,89.18949771689498
1431A,JQLH,2019,48h,48,V10,8760,7961,8760,7961,90.87899543378995
1431A,JQLH,2020,48h,48,V10,8784,7994,8784,7994,91.0063752276867
1431A,JQLH,2021,48h,48,V10,8049,7500,8048,7499,93.16685302522052
1431A,JQLH,2015,48h,48,T2,8760,7571,8753,7571,86.42694063926942
1431A,JQLH,2016,48h,48,T2,8784,8234,8784,8234,93.73861566484517
1431A,JQLH,2017,48h,48,T2,8760,8312,8760,8312,94.88584474885845
1431A,JQLH,2018,48h,48,T2,8760,7813,8760,7813,89.18949771689498
1431A,JQLH,2019,48h,48,T2,8760,7961,8760,7961,90.87899543378995
1431A,JQLH,2020,48h,48,T2,8784,7994,8784,7994,91.0063752276867
1431A,JQLH,2021,48h,48,T2,8049,7500,8048,7499,93.16685302522052
1431A,JQLH,2015,48h,48,RH2,8760,7571,8753,7571,86.42694063926942
1431A,JQLH,2016,48h,48,RH2,8784,8234,8784,8234,93.73861566484517
1431A,JQLH,2017,48h,48,RH2,8760,8312,8760,8312,94.88584474885845
1431A,JQLH,2018,48h,48,RH2,8760,7813,8760,7813,89.18949771689498
1431A,JQLH,2019,48h,48,RH2,8760,7961,8760,7961,90.87899543378995
1431A,JQLH,2020,48h,48,RH2,8784,7994,8784,7994,91.0063752276867
1431A,JQLH,2021,48h,48,RH2,8049,7500,8049,7500,93.17927692881102
1431A,JQLH,2015,48h,48,PBLH,8760,7571,8753,7571,86.42694063926942
1431A,JQLH,2016,48h,48,PBLH,8784,8234,8784,8234,93.73861566484517
1431A,JQLH,2017,48h,48,PBLH,8760,8312,8760,8312,94.88584474885845
1431A,JQLH,2018,48h,48,PBLH,8760,7813,8760,7813,89.18949771689498
1431A,JQLH,2019,48h,48,PBLH,8760,7961,8760,7961,90.87899543378995
1431A,JQLH,2020,48h,48,PBLH,8784,7994,8784,7994,91.0063752276867
1431A,JQLH,2021,48h,48,PBLH,8049,7500,8048,7499,93.16685302522052
1431A,JQLH,2015,72h,72,PM10,8760,7576,8112,7559,86.28995433789954
1431A,JQLH,2016,72h,72,PM10,8784,8223,8458,8173,93.04417122040073
1431A,JQLH,2017,72h,72,PM10,8760,8309,8496,8255,94.2351598173516
1431A,JQLH,2018,72h,72,PM10,8760,7715,8063,7617,86.95205479452055
1431A,JQLH,2019,72h,72,PM10,8760,7919,8275,7858,89.70319634703196
1431A,JQLH,2020,72h,72,PM10,8784,7971,8366,7947,90.47131147540983
1431A,JQLH,2021,72h,72,PM10,8049,7491,7796,7482,92.95564666418188
1431A,JQLH,2015,72h,72,SO2,8760,7576,8131,7574,86.46118721461187
1431A,JQLH,2016,72h,72,SO2,8784,8223,8507,8218,93.55646630236795
1431A,JQLH,2017,72h,72,SO2,8760,8309,8539,8294,94.68036529680364
1431A,JQLH,2018,72h,72,SO2,8760,7715,8152,7681,87.68264840182648
1431A,JQLH,2019,72h,72,SO2,8760,7919,8297,7870,89.84018264840182
1431A,JQLH,2020,72h,72,SO2,8784,7971,8371,7929,90.26639344262296
