station_code,station_name,horizon,horizon_hours,forecast_origins,valid_predictions,mae,rmse,r2
1431A,JQLH,48h,48,11,11,49.1098369963685,58.53063353161291,-2.1694016549816366
1431A,JQLH,72h,72,11,11,59.66131070120866,69.35991459499303,-2.618490259635682
1431A,JQLH,7d,168,11,11,111.05477045639805,141.0832350108588,-69.35233929241792
1431A,JQLH,14d,336,11,11,228.79518664045355,282.07275495820477,-61.76563525911807
1431A,JQLH,30d,720,11,11,442.96321827484985,567.450122610295,-1053.7362382161102
1432A,SLD,48h,48,11,11,41.0268383650096,50.55143819946156,-0.7913332428894042
1432A,SLD,72h,72,11,11,43.94862903843651,56.511369077781055,-1.6778032143285557
1432A,SLD,7d,168,11,11,77.24153594532066,105.849217693845,-26.41095238898213
1432A,SLD,14d,336,11,11,156.89056566599467,222.46259836895075,-42.82560143181894
1432A,SLD,30d,720,11,11,308.471196642281,448.9742454362826,-1603.2437937960142
1433A,SWY,48h,48,11,11,50.39149853246019,59.98972785358875,-1.358020129105555
1433A,SWY,72h,72,11,11,58.559025854333164,66.75425276839967,-2.418317706691908
1433A,SWY,7d,168,11,11,99.08834479157731,122.29172120272878,-57.61580312392586
1433A,SWY,14d,336,11,11,212.72851953030357,257.3932222954753,-40.04619398122602
1433A,SWY,30d,720,11,11,402.32715895461274,496.18978549121533,-1172.1401390219744
1434A,SHP,48h,48,11,11,40.275100278249255,45.61836743667326,-0.4935779227843975
1434A,SHP,72h,72,11,11,47.80132302815945,56.066238628531785,-1.3977746475283546
1434A,SHP,7d,168,11,11,81.34991145421071,99.562843182597,-20.674869508382862
1434A,SHP,14d,336,11,11,153.45191244634833,203.12537276153788,-34.758949419121
1434A,SHP,30d,720,11,11,306.1529201439311,410.53247842801665,-1843.8495401804096
1437A,JPJ,48h,48,11,10,54.58833089294767,63.71008836640416,-1.2955408662227272
1437A,JPJ,72h,72,11,11,63.66248338069242,75.75584189856785,-3.7693832153811035
1437A,JPJ,7d,168,11,11,112.33283152447457,136.18988901760304,-45.594485536392305
1437A,JPJ,14d,336,11,11,226.61590653579225,279.5236676573875,-44.50121367255989
1437A,JPJ,30d,720,11,11,432.2578310242458,541.9275269447526,-859.8929400580242
1438A,LYS,48h,48,11,10,25.409980705952385,34.15733922290205,-0.5222637424826508
1438A,LYS,72h,72,11,10,39.755518622675694,50.48158973339388,-3.563655561345067
1438A,LYS,7d,168,11,11,81.22221653455655,104.76760918423656,-77.55947498142035
1438A,LYS,14d,336,11,10,167.32720274001466,224.65691902358677,-39.668093909278056
1438A,LYS,30d,720,11,10,368.1232419737009,479.16999785723584,-580.5553984106367
2880A,DSXL,48h,48,11,11,55.13473179001171,68.346851139225,-1.828139675861527
2880A,DSXL,72h,72,11,11,67.0241912876581,84.38457876723733,-4.0829544757277665
2880A,DSXL,7d,168,11,10,123.33782792950235,155.87714288471315,-52.490849933738296
2880A,DSXL,14d,336,11,11,240.63529304626107,292.1897499433252,-46.10003668754146
2880A,DSXL,30d,720,11,11,457.2101629604329,584.9782613729424,-924.1529966875542
3136A,LQXQ,48h,48,11,11,27.99173202664481,34.00626765757847,0.09660032900856785
3136A,LQXQ,72h,72,11,10,30.36825062015144,42.81997866729479,-0.5232747410608887
3136A,LQXQ,7d,168,11,11,54.768610740915136,69.02168026185562,-13.485678089323752
3136A,LQXQ,14d,336,11,11,107.48196978052275,128.36443546916593,-29.083725495540286
3136A,LQXQ,30d,720,11,11,224.42370472822458,285.54656619984945,-952.4168745353234
3358A,LJL,48h,48,11,10,43.33066237810159,60.36442092643144,-2.3472623931282968
3358A,LJL,72h,72,11,10,64.1438790692021,87.41133958660592,-2.0899651758864333
3358A,LJL,7d,168,11,11,97.34594512891586,134.7250633058576,-36.357577217466364
3358A,LJL,14d,336,11,11,202.00136929527608,274.25400153001414,-21.866835191738293
3358A,LJL,30d,720,11,11,372.151173569118,537.628949149572,-816.6563174499566
