station_code,horizon,horizon_hours,n_predictions,mae,rmse,r2
1431A,24h,24,7537,19.115297863871568,27.23822053818443,0.21564796038447998
1431A,48h,48,7530,24.143426294820717,33.32837944596202,-0.15134154197106575
1431A,72h,72,7541,26.643415992573928,36.41783335667263,-0.39088505962807996
1431A,7d,168,7530,25.905179282868527,36.455783765909075,-0.3668496380990638
1431A,14d,336,7528,26.557120085015942,37.152145038714565,-0.44107702006528227
1431A,30d,720,7523,26.324870397447828,36.34443906153815,-0.36971242109258795
1432A,24h,24,7688,18.2855098855359,26.09584959883697,0.25181576055502397
1432A,48h,48,7689,23.04109767199896,31.77034045220405,-0.11092144458554509
1432A,72h,72,7685,25.6227716330514,34.91677436527423,-0.3360512471184549
1432A,7d,168,7691,25.19334286828761,35.87617938189624,-0.4097317115657928
1432A,14d,336,7684,26.730218636127017,37.37752688283626,-0.6075608569074162
1432A,30d,720,7670,26.05580182529335,36.31228094001385,-0.4585804092167951
1433A,24h,24,7754,17.658111942223368,26.176798643199344,0.2186931578693777
1433A,48h,48,7758,22.26720804331013,31.57858266637887,-0.13544621811549384
1433A,72h,72,7754,24.61890637090534,34.55667312498577,-0.3675335561288322
1433A,7d,168,7752,24.07985036119711,34.72521686432656,-0.3903678066483871
1433A,14d,336,7758,24.90796597061098,36.11629407348538,-0.5012944382400781
1433A,30d,720,7738,25.088265701731714,36.142035147108494,-0.5088774398951692
1434A,24h,24,7761,17.708800412318,25.81088487676035,0.26210296800827193
1434A,48h,48,7757,22.897898672167074,31.702487266027713,-0.12349662385587745
1434A,72h,72,7754,25.269280371421203,34.80837775936771,-0.382406351358477
1434A,7d,168,7748,25.26097057305111,36.322215021643046,-0.4589516985968347
1434A,14d,336,7752,26.348942208462333,37.786267169225745,-0.5786876416743725
1434A,30d,720,7748,25.605962829117193,36.23537926359915,-0.4877225889147756
1437A,24h,24,7688,18.766519250780437,26.960600130881243,0.29325883702258737
1437A,48h,48,7669,24.252314512974312,33.926448559389684,-0.11782761199463176
1437A,72h,72,7668,27.17566510172144,37.51288945583945,-0.37021437717688355
1437A,7d,168,7709,26.62718899987028,38.423781051814906,-0.45822979208646264
1437A,14d,336,7715,27.187815942968243,39.39037060216976,-0.513062662484087
1437A,30d,720,7679,27.409818986847245,38.835091660966455,-0.47222420706024804
1438A,24h,24,7049,15.66335650446872,21.331467221663676,0.19497631670075932
1438A,48h,48,6952,18.12197928653625,24.79465726257775,-0.07452683242547242
1438A,72h,72,6918,19.961838681699913,27.433343221776543,-0.31143864654736064
1438A,7d,168,6897,20.457880237784543,28.565637578789165,-0.4563587522991599
1438A,14d,336,6934,21.174935102394002,29.466041818016773,-0.583484137620784
1438A,30d,720,6939,20.640726329442284,27.98725854252841,-0.577081604179069
2880A,24h,24,7448,19.475966702470462,28.324300122749882,0.2890099090222007
2880A,48h,48,7424,24.77599676724138,35.29523151159228,-0.11744883756100122
2880A,72h,72,7413,27.231215432348577,38.35254505410747,-0.3752236165752525
2880A,7d,168,7417,26.937441013887018,39.32255820339213,-0.41459700818516243
2880A,14d,336,7414,28.01780415430267,41.00567114547912,-0.49434380095369534
2880A,30d,720,7469,27.88793680546258,39.94554634642909,-0.42892458554576174
3136A,24h,24,7652,16.345138525875587,24.252696402707098,0.21833449359385537
3136A,48h,48,7656,20.24177115987461,28.572368201820392,-0.0849737581759844
3136A,72h,72,7646,22.570755950823962,31.0391439850576,-0.28418329275742216
3136A,7d,168,7642,22.144203088196807,31.751344334539763,-0.3829401070097922
3136A,14d,336,7630,23.162385321100917,33.665206574189185,-0.5632332300116492
3136A,30d,720,7627,23.501770027533762,33.06238466390999,-0.48379273150490154
3358A,24h,24,7521,16.39196915303816,25.25252860153165,0.34780585410484754
3358A,48h,48,7494,20.8225246864158,30.847611362439086,0.06945581734767181
3358A,72h,72,7469,23.26884455750435,33.884845512248404,-0.12173670460571562
3358A,7d,168,7464,23.606511254019292,35.84449899570292,-0.25666998663407736
3358A,14d,336,7475,23.835585284280935,35.65608111390451,-0.23874280145400584
3358A,30d,720,7477,24.98595693459944,37.027470472791975,-0.4571428831224076
