target_station_code,target_station_name,neighbour_rank,neighbour_station_code,neighbour_station_name,distance_km
1431A,JQLH,1,2880A,DSXL,4.6969
1431A,JQLH,2,1437A,JPJ,6.7235
1431A,JQLH,3,1433A,SWY,8.2891
1432A,SLD,1,1434A,SHP,2.8424
1432A,SLD,2,1433A,SWY,7.8963
1432A,SLD,3,1437A,JPJ,9.4498
1433A,SWY,1,1437A,JPJ,1.5673
1433A,SWY,2,2880A,DSXL,3.5918
1433A,SWY,3,1434A,SHP,5.0544
1434A,SHP,1,1432A,SLD,2.8424
1434A,SHP,2,1433A,SWY,5.0544
1434A,SHP,3,1437A,JPJ,6.6108
1437A,JPJ,1,1433A,SWY,1.5673
1437A,JPJ,2,2880A,DSXL,2.0279
1437A,JPJ,3,1434A,SHP,6.6108
1438A,LYS,1,3358A,LJL,21.543
1438A,LYS,2,1431A,JQLH,33.6571
1438A,LYS,3,2880A,DSXL,38.3582
2880A,DSXL,1,1437A,JPJ,2.0279
2880A,DSXL,2,1433A,SWY,3.5918
2880A,DSXL,3,1431A,JQLH,4.6969
3136A,LQXQ,1,1432A,SLD,12.4995
3136A,LQXQ,2,1434A,SHP,15.3438
3136A,LQXQ,3,1433A,SWY,20.4026
3358A,LJL,1,1431A,JQLH,12.1413
3358A,LJL,2,2880A,DSXL,16.8413
3358A,LJL,3,1437A,JPJ,18.8687
