station_a,station_a_name,station_b,station_b_name,distance_km
1433A,SWY,1437A,JPJ,1.56731255254086
1437A,JPJ,2880A,DSXL,2.0278876239518513
1432A,SLD,1434A,SHP,2.8424101631298075
1433A,SWY,2880A,DSXL,3.5918091324192
1431A,JQLH,2880A,DSXL,4.696853740705995
1433A,SWY,1434A,SHP,5.054387093382862
1434A,SHP,1437A,JPJ,6.61080479243146
1431A,JQLH,1437A,JPJ,6.723485937494385
1432A,SLD,1433A,SWY,7.896289123839359
1431A,JQLH,1433A,SWY,8.28909975278441
1434A,SHP,2880A,DSXL,8.638907915938107
1432A,SLD,1437A,JPJ,9.449799975684769
1432A,SLD,2880A,DSXL,11.477442709484505
1431A,JQLH,3358A,LJL,12.141266189618655
1432A,SLD,3136A,LQXQ,12.499537999783026
1431A,JQLH,1434A,SHP,13.332579514602898
1434A,SHP,3136A,LQXQ,15.343793446213546
1431A,JQLH,1432A,SLD,16.168111762954286
2880A,DSXL,3358A,LJL,16.841250461413473
1437A,JPJ,3358A,LJL,18.868676008142778
1433A,SWY,3136A,LQXQ,20.402633711093642
1433A,SWY,3358A,LJL,20.437022050828595
1438A,LYS,3358A,LJL,21.542970856645663
1437A,JPJ,3136A,LQXQ,21.95505214213514
2880A,DSXL,3136A,LQXQ,23.983863641471896
1434A,SHP,3358A,LJL,25.480397726856378
1432A,SLD,3358A,LJL,28.31405485297702
1431A,JQLH,3136A,LQXQ,28.673843487489854
1431A,JQLH,1438A,LYS,33.65707554609311
1438A,LYS,2880A,DSXL,38.35823877132968
1437A,JPJ,1438A,LYS,40.38199750528017
3136A,LQXQ,3358A,LJL,40.82807097544991
1433A,SWY,1438A,LYS,41.957933687879404
1434A,SHP,1438A,LYS,46.98517205733376
1432A,SLD,1438A,LYS,49.80768698819427
1438A,LYS,3136A,LQXQ,62.31492799116422
