model,horizon,horizon_hours,station_code,station_name,test_samples,mae,rmse,r2
V4-A Temporal XGBoost,48h,48,1431A,JQLH,7755,19.064946687675,25.774926191496576,0.304304890780018
V4-A Temporal XGBoost,48h,48,1432A,SLD,7821,18.032035635097177,24.629154468461444,0.32642576670558376
V4-A Temporal XGBoost,48h,48,1433A,SWY,7856,17.505385197714244,24.369292503330957,0.31544546099160775
V4-A Temporal XGBoost,48h,48,1434A,SHP,7857,18.170224744338668,24.969928579318896,0.30503158069555925
V4-A Temporal XGBoost,48h,48,1437A,JPJ,7811,19.302044568484884,26.514787782916887,0.3113500663374643
V4-A Temporal XGBoost,48h,48,1438A,LYS,7408,16.08785982265843,20.76238736290339,0.1919667036892151
V4-A Temporal XGBoost,48h,48,2880A,DSXL,7683,19.501322803748053,27.12257918833065,0.3355466737092948
V4-A Temporal XGBoost,48h,48,3136A,LQXQ,7794,16.11605055417224,22.145639290328695,0.3375264438398634
V4-A Temporal XGBoost,48h,48,3358A,LJL,7717,17.275108739534808,24.92350937276279,0.3800233443580332
V4-A Temporal XGBoost,72h,72,1431A,JQLH,7732,19.210936284842298,25.956919055985175,0.2879605115977344
V4-A Temporal XGBoost,72h,72,1432A,SLD,7798,18.31213197013481,25.294511048236068,0.28377060720971503
V4-A Temporal XGBoost,72h,72,1433A,SWY,7833,17.93255177503586,25.08861841831128,0.2656723152589654
V4-A Temporal XGBoost,72h,72,1434A,SHP,7834,18.413686654444156,25.7600480483353,0.25497595696213926
V4-A Temporal XGBoost,72h,72,1437A,JPJ,7788,19.36133847655427,26.865453821683314,0.28679522623798437
V4-A Temporal XGBoost,72h,72,1438A,LYS,7387,16.854920071227085,21.74050797292667,0.11074187472794361
V4-A Temporal XGBoost,72h,72,2880A,DSXL,7660,19.992986084586956,28.414348826739513,0.2661645969015277
V4-A Temporal XGBoost,72h,72,3136A,LQXQ,7771,16.65749932709938,23.127263090697234,0.2702740759996405
V4-A Temporal XGBoost,72h,72,3358A,LJL,7717,17.487869226856834,25.263609089222374,0.3629878209722135
V4-A Temporal XGBoost,7d,168,1431A,JQLH,7641,19.1192157980098,26.546696382340215,0.2460428079387893
V4-A Temporal XGBoost,7d,168,1432A,SLD,7703,18.6870190330284,26.18862130058614,0.22007760485688754
V4-A Temporal XGBoost,7d,168,1433A,SWY,7739,17.731224115758398,25.05187345052327,0.24583767449633187
V4-A Temporal XGBoost,7d,168,1434A,SHP,7739,18.37266682771337,25.969708089145396,0.22644897656997243
V4-A Temporal XGBoost,7d,168,1437A,JPJ,7694,19.33283354308285,27.44145763888933,0.24259890416037344
V4-A Temporal XGBoost,7d,168,1438A,LYS,7304,16.163245998298482,21.148998178443446,0.1472074691451012
V4-A Temporal XGBoost,7d,168,2880A,DSXL,7570,19.851840605115324,28.786881625299074,0.23968710784194858
V4-A Temporal XGBoost,7d,168,3136A,LQXQ,7676,16.697645466733935,23.161377618774157,0.24044880683057668
V4-A Temporal XGBoost,7d,168,3358A,LJL,7666,17.45436255203474,26.19367919231861,0.3172357227359245
V4-A Temporal XGBoost,14d,336,1431A,JQLH,7474,19.072790275642124,26.554787987938635,0.21152859725633988
V4-A Temporal XGBoost,14d,336,1432A,SLD,7536,18.246153999982113,25.48399950985699,0.24245357576230897
V4-A Temporal XGBoost,14d,336,1433A,SWY,7573,17.598093214555128,25.03912608869092,0.2134545999539782
V4-A Temporal XGBoost,14d,336,1434A,SHP,7576,17.90253220817985,25.380994815185367,0.24691438757287743
V4-A Temporal XGBoost,14d,336,1437A,JPJ,7529,19.20502702698066,27.211371668967953,0.22481611621379893
V4-A Temporal XGBoost,14d,336,1438A,LYS,7137,16.43730581489885,21.27735806149443,0.11441049876927323
V4-A Temporal XGBoost,14d,336,2880A,DSXL,7405,20.136684000967,28.733475901210305,0.21681936495593457
V4-A Temporal XGBoost,14d,336,3136A,LQXQ,7511,16.44342106214901,22.53286035191564,0.27600958179604984
V4-A Temporal XGBoost,14d,336,3358A,LJL,7507,18.308937584844113,27.351623172029438,0.2248850441029524
V4-A Temporal XGBoost,30d,720,1431A,JQLH,7094,18.022095480871293,25.03540589749118,0.19862716769622624
V4-A Temporal XGBoost,30d,720,1432A,SLD,7154,17.31697281386088,24.095565079106947,0.23801815654489844
V4-A Temporal XGBoost,30d,720,1433A,SWY,7199,16.25346066750061,22.863444805058545,0.19084748952143782
V4-A Temporal XGBoost,30d,720,1434A,SHP,7203,16.966223761884102,23.879522046586043,0.2281872979564301
V4-A Temporal XGBoost,30d,720,1437A,JPJ,7157,17.992923897672203,25.506243198994003,0.21271848712270724
V4-A Temporal XGBoost,30d,720,1438A,LYS,6756,16.01493593685157,20.43902826652927,0.10958114917338813
V4-A Temporal XGBoost,30d,720,2880A,DSXL,7027,18.7677031250076,26.72083130510571,0.21963128891667305
V4-A Temporal XGBoost,30d,720,3136A,LQXQ,7130,15.772405211888724,21.387328369673654,0.23041105741459356
V4-A Temporal XGBoost,30d,720,3358A,LJL,7146,17.64256657901479,26.558676807174628,0.13299826178503227
