feature,mean_abs_shap
pm25_lag_1h,9.864199
year,3.4336894
temperature_rolling_mean_72h,3.1951492
day_of_year_cos,2.9975939
pm25_rolling_mean_6h,2.8487198
pm25_rolling_std_168h,1.7491151
pm25_rolling_mean_168h,1.6084887
u10_rolling_mean_72h,1.5049095
wind_speed,1.22384
relative_humidity,1.127107
day_of_year,1.1123679
pm25_lag_720h,1.0674595
temperature_rolling_mean_48h,1.0491635
pm25_rolling_mean_48h,1.0197393
pm10_rolling_mean_48h,0.9696025
day_of_year_sin,0.95829576
boundary_layer_height,0.93829805
temperature_rolling_mean_24h,0.9354631
pm25_lag_336h,0.8229554
boundary_layer_height_lag_3h,0.76603884
temperature_lag_24h,0.75696456
boundary_layer_height_lag_6h,0.6920148
boundary_layer_height_rolling_mean_24h,0.68518436
day_of_month,0.6781732
pm10_lag_1h,0.65513754
relative_humidity_rolling_mean_24h,0.6487165
v10_rolling_mean_24h,0.64840204
boundary_layer_height_rolling_mean_72h,0.60948837
no2_lag_1h,0.5776468
pm25_rolling_mean_24h,0.5748034
u10_rolling_mean_24h,0.5537991
relative_humidity_rolling_mean_72h,0.5480307
o3_8h_rolling_mean_48h,0.545443
v10_rolling_mean_72h,0.5431736
so2_rolling_mean_48h,0.54094106
pm25_lag_168h,0.5386323
v10,0.50315535
pm25_rolling_std_72h,0.4505991
pm25_lag_48h,0.4456515
week_of_year,0.407921
no2_rolling_mean_48h,0.4061998
pm25_rolling_std_48h,0.37195036
u10,0.3709137
wind_direction_cos,0.3485856
co_rolling_mean_48h,0.34245655
boundary_layer_height_lag_1h,0.339929
pm25_rolling_mean_72h,0.3394281
pm10_rolling_mean_6h,0.33848464
pm25_lag_24h,0.3346402
v10_rolling_mean_12h,0.31676605
u10_rolling_mean_48h,0.3117039
hour_cos,0.31075427
boundary_layer_height_rolling_mean_48h,0.29531783
v10_rolling_mean_6h,0.2913139
v10_lag_24h,0.29077372
v10_rolling_mean_48h,0.28863648
pm10_rolling_mean_24h,0.2835933
temperature_lag_3h,0.27175212
co_rolling_mean_24h,0.26600283
temperature_rolling_mean_12h,0.26298687
day_of_week_sin,0.25726852
relative_humidity_rolling_mean_48h,0.25664064
o3_8h_lag_1h,0.2557486
boundary_layer_height_lag_12h,0.24632904
co_lag_1h,0.24042526
pm10_rolling_mean_12h,0.23534133
v10_lag_6h,0.23168728
u10_rolling_mean_6h,0.22768247
day_of_week,0.22085054
no2_rolling_mean_12h,0.22011238
u10_rolling_mean_12h,0.21511264
day_of_week_cos,0.21403594
relative_humidity_lag_24h,0.2071053
co_rolling_mean_6h,0.20327553
pm25_lag_2h,0.19078064
pm10_lag_24h,0.1904758
pm25_rolling_mean_3h,0.19033422
boundary_layer_height_rolling_mean_12h,0.18726729
pm25_lag_72h,0.18469697
relative_humidity_rolling_mean_12h,0.18041052
hour_sin,0.18001291
no2_rolling_mean_24h,0.17022042
so2_rolling_mean_24h,0.17009649
o3_8h_lag_24h,0.1664869
temperature_lag_6h,0.1646251
o3_8h_rolling_mean_24h,0.158398
pm25_rolling_mean_12h,0.15682589
hour,0.15667152
pm25_rolling_std_24h,0.15394557
v10_lag_3h,0.15317509
relative_humidity_lag_3h,0.15206932
wind_direction_sin,0.15064013
co_lag_3h,0.1483755
relative_humidity_lag_12h,0.14487016
u10_lag_12h,0.1373226
temperature_rolling_mean_6h,0.13446227
co_lag_6h,0.12844373
temperature,0.1270868
o3_8h_rolling_mean_12h,0.12505019
boundary_layer_height_rolling_mean_6h,0.119867675
so2_lag_24h,0.118112125
u10_lag_6h,0.107390866
temperature_lag_1h,0.107323766
co_rolling_mean_12h,0.10545419
so2_lag_1h,0.104053065
month_cos,0.102774814
v10_lag_12h,0.10045203
o3_8h_lag_3h,0.09576219
o3_8h_lag_12h,0.095139645
month_sin,0.09172291
temperature_lag_12h,0.08636157
co_lag_24h,0.08375429
v10_lag_1h,0.07817018
u10_lag_24h,0.07790775
so2_rolling_mean_12h,0.075519875
pm25_rolling_std_12h,0.067027204
o3_8h_lag_6h,0.065856144
pm25_lag_6h,0.06398327
o3_8h_rolling_mean_6h,0.062281247
boundary_layer_height_lag_24h,0.061099213
relative_humidity_lag_1h,0.06054022
pm25_lag_12h,0.058826704
pm25_rolling_std_6h,0.05680465
u10_lag_3h,0.056043234
no2_lag_24h,0.054863688
month,0.054611545
so2_rolling_mean_6h,0.05402869
no2_lag_6h,0.053940862
pm25_lag_3h,0.050121475
pm25_rolling_std_3h,0.047327228
relative_humidity_lag_6h,0.04439088
pm10_lag_12h,0.043543965
co_lag_12h,0.03874202
no2_rolling_mean_6h,0.03853609
relative_humidity_rolling_mean_6h,0.038517
so2_lag_12h,0.03732231
so2_lag_3h,0.035199054
pm10_lag_3h,0.03332193
no2_lag_3h,0.031227304
pm10_lag_6h,0.029499875
u10_lag_1h,0.028833942
no2_lag_12h,0.0226846
is_weekend,0.01979082
so2_lag_6h,0.016204163
quarter,0.0
